Title,Price,UPC,Product Type,Price (excl. tax),Price (incl. tax),Tax,Availability,Number of reviews
Sapiens: A Brief History of Humankind,£54.23,4165285e1663650f,Books,£54.23,£54.23,£0.00,In stock (20 available),0
Set Me Free,£17.46,ce6396b0f23f6ecc,Books,£17.46,£17.46,£0.00,In stock (19 available),0
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,3b1c02bac2a429e6,Books,£52.29,£52.29,£0.00,In stock (19 available),0
Rip it Up and Start Again,£35.02,a34ba96d4081e6a4,Books,£35.02,£35.02,£0.00,In stock (19 available),0
Chase Me (Paris Nights #2),£25.27,c2e46a2ee3b4a322,Books,£25.27,£25.27,£0.00,In stock (19 available),0
Black Dust,£34.53,00bfed9e18bb36f3,Books,£34.53,£34.53,£0.00,In stock (19 available),0
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,£40.30,4c28def39d850cdf,Books,£40.30,£40.30,£0.00,In stock (18 available),0
The Four Agreements: A Practical Guide to Personal Freedom,£17.66,6258a1f6a6dcfe50,Books,£17.66,£17.66,£0.00,In stock (18 available),0
The Elephant Tree,£23.82,5dada2b7be26bd03,Books,£23.82,£23.82,£0.00,In stock (18 available),0
Sophie's World,£15.94,6be3beb0793a53e7,Books,£15.94,£15.94,£0.00,In stock (18 available),0
Private Paris (Private #10),£47.61,b12b89017878a60d,Books,£47.61,£47.61,£0.00,In stock (17 available),0
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,£23.11,c27f6e1f185b0383,Books,£23.11,£23.11,£0.00,In stock (17 available),0
"We Love You, Charlie Freeman",£50.27,8d455c7539795d2a,Books,£50.27,£50.27,£0.00,In stock (16 available),0
Thirst,£17.27,709822d0b5bcb7f4,Books,£17.27,£17.27,£0.00,In stock (16 available),0
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",£20.59,8c9e6bf2467d740d,Books,£20.59,£20.59,£0.00,In stock (16 available),0
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,£32.24,7d6d2a6c0276f81b,Books,£32.24,£32.24,£0.00,In stock (16 available),0
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,0fa6dceead7ce47a,Books,£13.61,£13.61,£0.00,In stock (16 available),0
Princess Between Worlds (Wide-Awake Princess #5),£13.34,0e691eda369f4e09,Books,£13.34,£13.34,£0.00,In stock (16 available),0
Join,£35.67,18ad3ed896c7ce05,Books,£35.67,£35.67,£0.00,In stock (16 available),0
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,e4f74c16de34d440,Books,£57.36,£57.36,£0.00,In stock (16 available),0
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,bee3672891cca906,Books,£29.14,£29.14,£0.00,In stock (16 available),0
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,8a380641491d43ed,Books,£56.76,£56.76,£0.00,In stock (16 available),0
A Flight of Arrows (The Pathfinders #2),£55.53,3a6fb983e2554023,Books,£55.53,£55.53,£0.00,In stock (16 available),0
(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,e4ac92d89b946781,Books,£54.00,£54.00,£0.00,In stock (16 available),0
The Third Wave: An Entrepreneur’s Vision of the Future,£12.61,3bebf34ee9330cbd,Books,£12.61,£12.61,£0.00,In stock (15 available),0
The Regional Office Is Under Attack!,£51.36,0651062381f0636a,Books,£51.36,£51.36,£0.00,In stock (15 available),0
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,e4c7f3487d17fd42,Books,£37.34,£37.34,£0.00,In stock (15 available),0
The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,dd047728de72ad62,Books,£38.49,£38.49,£0.00,In stock (15 available),0
The Art of War,£33.34,e7469e22b5bfb3e7,Books,£33.34,£33.34,£0.00,In stock (15 available),0
Scarlett Epstein Hates It Here,£43.55,1c929cfd16b71907,Books,£43.55,£43.55,£0.00,In stock (15 available),0
Redeeming Love,£20.47,b53db2271c9624f7,Books,£20.47,£20.47,£0.00,In stock (15 available),0
Mrs. Houdini,£30.25,a40723994f715420,Books,£30.25,£30.25,£0.00,In stock (15 available),0
